county,state,voteshare,year,dem1912_3party,note,incparty,incumbency,attacks,electionyearattacks,coastal
AUTAUGA,AL,0.29600000381469727,1872,NA,.,-1,-1,0,0,0
AUTAUGA,AL,0.33799999952316284,1876,NA,.,-1,0,0,0,0
AUTAUGA,AL,0.5010080933570862,1880,NA,.,-1,0,0,0,0
AUTAUGA,AL,0.5095095038414001,1884,NA,.,-1,0,0,0,0
AUTAUGA,AL,0.6320000290870667,1888,NA,.,1,1,0,0,0
AUTAUGA,AL,0.9589178562164307,1892,NA,.,-1,-1,0,0,0
AUTAUGA,AL,0.809944748878479,1896,NA,.,1,0,0,0,0
AUTAUGA,AL,0.6457260251045227,1900,NA,.,-1,-1,0,0,0
AUTAUGA,AL,0.9098277688026428,1904,NA,.,-1,0,0,0,0
AUTAUGA,AL,0.8709999918937683,1908,NA,.,-1,0,0,0,0
AUTAUGA,AL,0.9349489808082581,1912,0.7847965955734253,.,-1,-1,0,0,0
AUTAUGA,AL,0.8868501782417297,1916,NA,.,1,1,0,0,0
AUTAUGA,AL,0.8141413927078247,1920,NA,.,1,0,0,0,0
AUTAUGA,AL,0.8425925970077515,1924,NA,.,-1,-1,0,0,0
AUTAUGA,AL,0.5640000104904175,1928,NA,.,-1,0,0,0,0
AUTAUGA,AL,0.9051463007926941,1932,NA,.,-1,-1,0,0,0
AUTAUGA,AL,0.9477387070655823,1936,NA,.,1,1,0,0,0
AUTAUGA,AL,0.9425981640815735,1940,NA,.,1,1,0,0,0
AUTAUGA,AL,0.9137412309646606,1944,NA,.,1,1,0,0,0
AUTAUGA,AL,0.913294792175293,1948,NA,.,1,1,0,0,0
AUTAUGA,AL,0.6566622853279114,1952,NA,.,1,0,0,0,0
AUTAUGA,AL,0.5752999782562256,1956,NA,.,-1,-1,0,0,0
AUTAUGA,AL,0.5515000224113464,1960,NA,.,-1,0,0,0,0
AUTAUGA,AL,0,1964,NA,.,1,1,0,0,0
AUTAUGA,AL,0.7192999720573425,1968,NA,.,1,0,0,0,0
AUTAUGA,AL,0.2289000004529953,1972,NA,.,-1,-1,0,0,0
AUTAUGA,AL,0.5070000290870667,1976,NA,.,-1,-1,0,0,0
AUTAUGA,AL,0.4056999981403351,1980,NA,.,1,1,0,0,0
AUTAUGA,AL,0.2872999906539917,1984,NA,.,-1,-1,0,0,0
AUTAUGA,AL,0.3190000057220459,1988,NA,.,-1,0,0,0,0
AUTAUGA,AL,0.3560999929904938,1992,NA,.,-1,-1,0,0,0
AUTAUGA,AL,0.34529998898506165,1996,NA,.,1,1,0,0,0
AUTAUGA,AL,0.29179999232292175,2e3,NA,.,1,0,0,0,0
AUTAUGA,AL,0.23839999735355377,2004,NA,.,-1,-1,0,0,0
AUTAUGA,AL,0.25929999351501465,2008,NA,.,-1,0,0,0,0
AUTAUGA,AL,0.2679995894432068,2012,NA,.,1,1,0,0,0
BALDWIN,AL,0.43700000643730164,1872,NA,.,-1,-1,0,0,1
BALDWIN,AL,0.5440000295639038,1876,NA,.,-1,0,0,0,1
BALDWIN,AL,0.5365853905677795,1880,NA,.,-1,0,0,0,1
BALDWIN,AL,0.5251508951187134,1884,NA,.,-1,0,0,0,1
BALDWIN,AL,0.5699999928474426,1888,NA,.,1,1,0,0,1
BALDWIN,AL,0.7234469056129456,1892,NA,.,-1,-1,0,0,1
BALDWIN,AL,0.6353944540023804,1896,NA,.,1,0,0,0,1
BALDWIN,AL,0.5285087823867798,1900,NA,.,-1,-1,0,0,1
BALDWIN,AL,0.7828390002250671,1904,NA,.,-1,0,0,0,1
BALDWIN,AL,0.8006992936134338,1908,NA,.,-1,0,0,0,1
